kode_rumah_sakit,nama_rumah_sakit,jenis_rumah_sakit,alamat_rumah_sakit,kelurahan,kecamatan,kota_administrasi,kode_pos,nomor_telepon,nomor_fax,website,email,telepon_humas
3173623,Jakarta Eye Center,Rumah Sakit Khusus Mata,Jl. Teuku Cik Ditiro No. 46  M,Menteng,Menteng,Jakarta Pusat,,"021 335600, 021 3107434",021 3904601,,jec@jakarta-eye-center.com,
3173532,Proklamasi,Rumah Sakit Khusus THT dan Bedah,Jl. Proklamasi  No. 43 ,Pegangsaan,Menteng,Jakarta Pusat,,021 3900002,021 3900947,,rs.prok@indo.net,
3173695,Tambak,Rumah Sakit Ibu dan Anak,Jl. Tambak No. 18,Pegangsaan,Menteng,Jakarta Pusat,,021 2303444,021 3902550,,we care@rsiatambak,
3173671,FKG Universitas Indonesia,Rumah Sakit Khusus Gigi & Mulut,Jl. Salemba Raya,Kenari,Senen,Jakarta Pusat,,,,,rsgm_fkgui@yahoo.com,
1000001,Salemba Satu,Rumah Sakit Khusus Bedah,Jl. Salemba I  No. 13,Paseban,Senen,Jakarta Pusat,,,,,,
3171768,Sahid Sahirman Memorial,Rumah Sakit Khusus Bedah,Jl. Jenderal Sudirman Kavling 86,Karet Tengsin,Tanah Abang,Jakarta Pusat,,"021 5704591, 021 5703231","021 5705505, 021 5727213",,email : information@ssmh.co.id,
3175326,Islam Jakarta Sukapura,Rumah Sakit Umum,Jl. Tipar Cakung No. 5,Sukapura,Cilincing,Jakarta Utara,14140,"021 4400778,  021 4400779",021 4400782,www.rssukapura.co.id,rsijsukapura@gmail.com,"021 4400778, 021 4400779  Ext.143"
3175407,Gading Pluit,Rumah Sakit Umum,Jl. Boulevard Timur Raya RT. 006 / 02,Pegangsaan Dua,Kelapa Gading,Jakarta Utara,,"021 4521001, 021 4520201",021 4520578,,,
3175385,Mitra Keluarga Kelapa Gading,Rumah Sakit Umum,Jl. Bukit Gading Raya Kav. II,Kelapa Gading Barat,Kelapa Gading Barat,Jakarta Utara,,021 45852700,021 45852727,,,
3175016,Koja,Rumah Sakit Umum Daerah,Jl. Deli No. 4  Tanjung Priok,Koja,Koja,Jakarta Utara,14220,021 43938478,"021 4352401, 021 4372273",www.rsudkoja.com,rsudkoja@ymail.com,021 43838478
3175042,Pelabuhan Jakarta,Rumah Sakit Umum,"Jl. Kramat Jaya, Tanjung Priok",Tugu Utara,Koja,Jakarta Utara,12460,021 4403026,021 4403551,,,
1000002,Mulyasari,Rumah Sakit Umum,Jl. Raya Plumpang Semper No. 19  RT.006 / RW.015,Tugu Utara,Koja,Jakarta Utara,,"021 4390666, 021 4393111, 021 4393888",021 43935676,,,
3175352,Pantai Indah Kapuk,Rumah Sakit Umum,Jl. Pantai Indah Utara 3 Sek. Utr. Tmr Blok T,Kapuk Muara,Penjaringan,Jakarta Utara,14460,021 5880911,021 5880910,www.pikhospital.co.id,,021 5885065
3175031,Atma Jaya,Rumah Sakit Umum,Jl. Pluit Raya No. 2,Pejagalan,Penjaringan,Jakarta Utara,,"021 6606121, 021 6606127",021 6606122,,,
3175341,Pluit,Rumah Sakit Umum,Jl. Raya Pluit Selatan No. 2,Penjaringan,Penjaringan,Jakarta Utara,,"021 6685006,  021 6685070",021 6684878,,,
3175374,Puri Medika,Rumah Sakit Umum,Jl Sungai Bambu  No. 5,Sungai Bambu,Tanjung Priok,Jakarta Utara,14330,"021 43903355, 021 43901273",021 43903388,www.purimdika.com,purmed-medcen@centrin.net.id,
3175315,Satya Negara,Rumah Sakit Umum,Jl. Agung Utara Raya Blok A No. 1,Sunter Permai,Tanjung Priok,Jakarta Utara,14350,"021 65836583, 021 64715200, 021 64715900","021 687813, 021 64717813",www.rssatyanegara.com,rssn@cbn.net.id,021 65836583 ext. 121
3175330,Royal Progress,Rumah Sakit Umum,Jl. Danau Sunter Utara Raya No. 1,Sunter Podomoro,Tanjung Priok,Jakarta Utara,,"021 6459877, 021 6400261",021 6400778,,,
3175396,Port Medical Center,Rumah Sakit Umum,Jl. Enggano No. 10,Tanjung Priok,Tanjung Priok,Jakarta Utara,,021 43902350,021 43902302,,,
3175181,Sukmul Sisma Medika,Rumah Sakit Umum,Jl. Tawes No. 18-20 ,Tanjung Priok,Tanjung Priok,Jakarta Utara,,021 4301269,021 4301272,,Sukmul@indosat.net.id,
3175363,Family,Rumah Sakit Ibu dan Anak,Pluit Mas I Blok A No. 2A - 5A,Pejagalan,Penjaringan,Jakarta Utara,,021 6695639,021 6615563,,,
1000003,Grand Family,Rumah Sakit Ibu dan Anak,"Mutiara Mediterania C/8 A, Jl. Raya Pluit Samudra I-A RT.0011 RW.05",Pluit,Penjaringan,Jakarta Utara,,,,,,
3175064,PI. Prof.Sulianti Saroso,Rumah Sakit Khusus Infeksi,Jl. Baru Sunter Permai Raya,Papanggo,Tanjung Priok,Jakarta Utara,,"021 6506559, 021 6506567",021 6401411,,,
1000004,Santo Susuf,Rumah Sakit Bersalin,Jl. Ganggeng Raya No.9,Sungai Bambu,Tanjung Priok,Jakarta Utara,,,,,,
1000005,Firdaus,Rumah Sakit Khusus Paru,Jl. Siak J-5 No. 14,Sukapura,Cilincing,Jakarta Utara,,021 4407322,021 4400063,,,
3175304,Hermina Podomoro,Rumah Sakit Ibu dan Anak,Jl. Danau Agung 2 Blok E 3 No. 28-30,Sunter Agung,Tanjung Priok,Jakarta Utara,,021 6404910,021 6518720,,,
3174074,Cengkareng,Rumah Sakit Umum Daerah,"Jl. Kamal Raya, Bumi Cengkareng Indah",Cengkareng Timur,Cengkareng,Jakarta Barat,11730,"021 5442692, 021 54372874, 021 54372876","021 54372884, 021 54374844, 021  5442693",www.rsudcengkareng.com,marketingrs@rsudcengkareng.com,
3174416,Patria IKKT,Rumah Sakit Umum,"Jl. Cendrawasih No.1 Komp. Dep. Han, Mabes TNI  Slipi",Palmerah,Grogol Petamburan,Jakarta Barat,,"021 5308981, 021 5308984",021 5346387,,,
3174486,Royal Taruma,Rumah Sakit Umum,Jl. Daan Mogot No. 34,Tanjung Duren Utara,Grogol Petamburan,Jakarta Barat,11470,"021 56958338, 021 56967788",021 56958589,www.rs-royaltaruma.com,direksi@rs-royaltaruma.com,021 56958338 Ext. 1999
3174015,Sumber Waras ,Rumah Sakit Umum,Jl. Kyai Tapa No. 1,Tomang,Grogol Petamburan,Jakarta Barat,11440,"021 5682011, 021 5663726",021 5673122,www.rssumberwaras.com,sekretariat@rssumberwaras.com,021 5682011 Ext. 138
3174431,Hermina Daan Mogot,Rumah Sakit Umum,"Jl. Kintamani Raya No. 2, Kawasan Daan Mogot Baru",Kalideres,Kalideres,Jakarta Barat,,"021 5408989, 021 5411109",021 5449869,,,
3174351,Siloam Hospitals Kebon Jeruk/Siloam Graha Medika,Rumah Sakit Umum,Jl. Raya Pejuangan Kav. 8,Kebun Jeruk,Kebun Jeruk,Jakarta Barat,11530,"021 5300887, 021 5300888, 021 5300889",021 5321766,,,
3174475,Puri Mandiri Kedoya,Rumah Sakit Umum,Jl. Kedoya Raya / Al-Kamal No. 2,Kedoya Selatan,Kebun Jeruk,Jakarta Barat,,"021 5802126, 021 5828299","021 5816185, 021 5828499",,,
1000006,Grha Kedoya,Rumah Sakit Umum,Jl. Panjang Arteri 26,Kedoya Utara,Kebon Jeruk,Jakarta Barat,11520,"021 56982222, 021 29910999",021 56982233,www.grhakedoya.com,,
3174420,Medika Permata Hijau,Rumah Sakit Umum,Jl. Raya Kebayoran Lama No. 64 ,Sukabumi Selatan,Kebun Jeruk,Jakarta Barat,11560,"021 5347411, 021 5305288",021 5305291,www.rsmph.co.id,mph-mkt@rad.net.id,
3174508,Puri Indah,Rumah Sakit Umum,Jl. Puri Indah Raya  Blok S-2,Kembangan Selatan,Kembangan,Jakarta Barat,,021 25695222,,www.rspondokindah.co.id,,
3174026,Pelni Petamburan,Rumah Sakit Umum,Jl. Aip II K. S. Tubun No. 92-94,Slipi,Pal Merah,Jakarta Barat,,021 5480608,021 5483145,,,
3174030,Bhakti Mulia,Rumah Sakit Umum,Jl. Aipda K. S. Tubun No. 79,Slipi - Petamburan,Pal Merah,Jakarta Barat,,"5481625, 5481262",021 5331544,,,
3174453,Cinta Kasih Tzu Chi,Rumah Sakit Khusus Bedah,Jl. Raya kamal Outer Ring Road,Cengkareng Timur,Cengkareng,Jakarta Barat,,021 55956850,021 55951985,,,
3174041,Dr.Soeharto Heerdjan,Rumah Sakit Khusus Jiwa,Jl. Prof. Dr. Latumeten No. 1,Jelambar,Grogol Petamburan,Jakarta Barat,,"021 5682841, 021 5682842, 021 5682843","021 5682842, 021 5633316",,,
3174497,Bina Sehat Mandiri,Rumah Sakit Ibu dan Anak,Jl. Duri Raya No. 22,Kepa Duri,Kedoya,Jakarta Barat,11510,"021 5658870, 021 5669411, 021 5669412",021 5603531,,rsiabsm@yahoo.co.id,021 5603531
3174063,Dharmais,Rumah Sakit Khusus Kanker,Jl. Letjen S. Parman Kav. 84-86,Kota Bambu Selatan,Pal Merah,Jakarta Barat,,021 5681570,"021 5681579, 021 5681579",,,
3174260,Harapan Kita,Rumah Sakit Anak dan Bunda,"Jl. LetJen S. Parman Kav. 87, Slipi",Kota Bambu Utara,Pal Merah,Jakarta Barat,11420,021 5668284,021 5601816,www.rsab.harapankita.co.id,rsabhk@cbn.net.id,021 5668284 ext. 4312
3174282,Harapan Kita ,RS Khusus Jantung dan Pembuluh Darah,Jl. LetJen S. Parman Kav. 87,Kota Bambu Utara,Pal Merah,Jakarta Barat,,"021 5684085, 021 5684993","021 5684130, 021 5684230",www.website@pjnhk.go.id,www.pjnhk.go.id,"021 5684985, 021 5684993"
1000007,Aries,Rumah Sakit Ibu dan Anak,Jl. Tanah Sereal VII / 9,Tanah Sereal,Tambora,Jakarta Barat,,021 64996524,"021 6497506, 021 6591410",,,
3174442,FKG Universitas Trisakti,Rumah Sakit Khusus Gigi & Mulut,Jl. Kyai Tapa No. ,Tomang,Grogol Petamburan,Jakarta Barat,,,,,,
1000008,Anggrek Mas,Rumah Sakit Bersalin,Jl. Anggrek No. 2 B,Kelapa Dua,Kebon Jeruk,Jakarta Barat,,,,,,
1000009,Jakarta Eye Center Kedoya,Rumah Sakit Khusus Mata,,,,,,,,,,
1000010,BAN Jakarta Selatan ,Rumah Sakit Umum,Jl. Pesanggrahan No. 1,Bintaro,Bintaro,Jakarta Selatan,,,,,,
3171450,Setia Mitra,Rumah Sakit Umum,Jl. RS Fatmawati No. 80 - 82,Cilandak Barat,Cilandak,Jakarta Selatan,,021 7656000,021 7656875,,,
3171012,Fatmawati ,Rumah Sakit Umum Pusat,Jl. RS. Fatmawati,Cilandak Barat,Cilandak,Jakarta Selatan,12430,"021 7660552, 021 7501524","021 7690123, 021 75902544",www.fatmawati-hospital.com,rsupf@cbn.net.id,
1000011,Mayapada,Rumah Sakit Umum,Jl. Lebak Bulus 1,Lebak Bulus,Cilandak,Jakarta Selatan,,,,,,
3171574,Prikasih,Rumah Sakit Umum,Jl. RS Fatmawati No. 74 ,Pondok Labu,Cilandak,Jakarta Selatan,12450,"021 7501192, 021 7504669",021 7505148,,prikasih@cbn.net.id,
1000012,Ali Sibroh Malisi,Rumah Sakit Umum,Jl. Warung Silah No. 1,Cipedak,Jagakarsa,Jakarta Selatan,,"021 7868172, 021 7270681, 0816 722337",,,,
3171702,Zahirah,Rumah Sakit Umum,Jl. Sirsak No. 21,Jagakarsa,Jagakarsa,Jakarta Selatan,,021 7270808,021 7872210,,,
1000013,Muhammadiyah Jakarta,Rumah Sakit Umum,,Jagakarsa,Jagakarsa,Jakarta Selatan,,,,,,
3171023,Pusat Pertamina ,Rumah Sakit Umum,Jl. Kyai Maja No. 43,Gunung,Kebayoran Baru,Jakarta Selatan,12120,"021 7219202, 021 7200290","021 7209811, 021 7203540",,,
3171781,Muhammadiyah Taman Puring,Rumah Sakit Umum,Jl. Gandaria I / 20,Kebayoran Baru,Kebayoran Baru,Jakarta Selatan,,"021 7208358, 021 7269454",021 7234823,,,
3171621,Gandaria,Rumah Sakit Umum,Jl. Gandaria Tengah II No. 6 - 14,Kramat Pela,Kebayoran Baru,Jakarta Selatan,,"021 7250718, 021 7203311","021 7248175, 021 7222038",,,
3171504,Pondok Indah Jakarta Selatan,Rumah Sakit Umum,"Jl. Metro Duta Kav. UE,  Pondok Indah",Pondok Pinang,Kebayoran Lama,Jakarta Selatan,12310,"021 7657525, 021 7692252",021 7502324,www.rspondokindah.co.id,rspi@rspondokindah.co.id,021 7657525 ext 1300
1000014,Bhayangkara Selapa Polri,Rumah Sakit Umum,Jl. Ciputat Raya No. 40,,Kebayoran Lama,Jakarta Selatan,,"021 7666087, 021 7692919",,,,
3171735,Jakarta Medical Center,Rumah Sakit Umum,Jl. Warung Buncit Raya No. 15,Kalibata,Pancoran,Jakarta Selatan,,"021 7985177, 021 7980888",021 7940838,,,
3171034,Rumkital Marinir Cilandak,Rumah Sakit Umum,Jl. Raya Cilandak  KKO,Cilandak Timur,Pasar Minggu,Jakarta Selatan,12560,"021 7805296, 021 7805415",021 7812764,,,
3171643,Siaga Raya,Rumah Sakit Umum,Jl. Siaga Raya Kav. 4 - 8,Pejaten Barat,Pasar Minggu ,Jakarta Selatan,,"021 7972750, 021 7972790",021 7970494,,,
1000015,Dr. Suyoto,Rumah Sakit Umum,Jl. R. C. Veteran No. 178,Bintaro,Pesanggrahan,Jakarta Selatan,,021 77884000,021 73425817,,,
3171515,Metropolitan Medical Center,Rumah Sakit Umum,Jl. HR. Rasuna Said Kav. C-21 Kuningan,Karet Kuningan,Setiabudi,Jakarta Selatan,,021 5203435,021 5203417,,,
3171045,Jakarta,Rumah Sakit Umum,Jl. Jend. Sudirman Kav. 49 ,Karet Semanggi,Setiabudi,Jakarta Selatan,12930,021 5732241,"021 5710240, 021 5710249",,,
3171665,Medistra,Rumah Sakit Umum,Jl. Jenderal Gatot Subroto Kav. 59,Kuningan Timur,Setiabudi,Jakarta Selatan,,021 5210200,021 5210184,,,
3171632,Agung,Rumah Sakit Umum,Jl. Sultan Agung No. 67,Pasar Manggis,Setiabudi,Jakarta Selatan,,"021 8295971, 021 8294955",021 8305791,,,
3171461,Tebet,Rumah Sakit Umum,Jl. MT. Haryono No. 8,Pancoran,Tebet,Jakarta Selatan,,021 8307540,021 8311760,,,
3171680,Tria Dipa,Rumah Sakit Umum,Jl. Raya Pasar Minggu No. 3 A,Pancoran,Tebet,Jakarta Selatan,,"021 7974071, 021 7974073",021 7974074,,,
1000016,Andhika,Rumah Sakit Ibu dan Anak,Jl. Warung Sila No.8 RT.006 / RW.04 Gudang Baru,Ciganjur,Jagakarsa,Jakarta Selatan,,"021 7863408, 021 78887087",021 7874612,,,
1000017,Manazeli,Rumah Sakit Ibu dan Anak,Jl. Mohamad Kahfi Raya 1,Cipedak,Jagakarsa,Jakarta Selatan,,"021 7944777, 021 7943377",021 7944677,,,
3171746,Aulia,Rumah Sakit Ibu dan Anak,Jl. Jeruk Raya No. 15 RT. 0011 / RW. 01,Jagakarsa,Jagakarsa,Jakarta Selatan,12620,"021 7270208, 021 7867847, 0816 1133646","021 7867847, 021 7866057",,rsia_aulia@yahoo.co.id,
1000018,Sofa Marwa,Rumah Sakit Bersalin,"Jl. Bina Warga RT. 009 / RW. 07, Kalibata",Srengseng Sawah,Jagakarsa,Jakarta Selatan,,"021 70734329, 0852 16222552",021 7864329,,,
3171724,Brawijaya,Rumah Sakit Ibu dan Anak,Jl. Taman Brawijaya No. 1,Cipete Utara,Kebayoran Baru,Jakarta Selatan,,021 7211337,021 7211364,,,
3171413,Asih,Rumah Sakit Bersalin,Jl. Panglima Polim I  No. 34,Melawai ,Kebayoran Baru,Jakarta Selatan,12160,021 2700610,021 7254054,www.rsbasih.co.id,,
3171060,Dharmawangsa ,Rumah Sakit Khusus Jiwa,Jl. Dharmawangsa Raya No. 13  Blok P II,Pulo,Kebayoran Baru,Jakarta Selatan,12160,021 7394484,021 7394162,www.dharmawangsa.org,sanatorium@dharmawangsa.org,
3171552,Yurino Ciranjang,Rumah Sakit Khusus THT dan Bedah,Jl. Ciranjang  II No. 20-22,Rawa Barat,Kebayoran Baru,Jakarta Selatan,,"021 7243366, 021 7208192","021 7264038, 021 7398837",,,
3171216,Panti Nugeraha,Rumah Sakit Bersalin,Jl. Senayan No. 26,Rawa Barat,Kebayoran Baru,Jakarta Selatan,,"021 7221171, 021 7223939","021 7221171, 021 7223939",,,
3171713,Kartini,Rumah Sakit Bersalin,Jl. Ciledug Raya No. 94 - 96,Cipulir,Kebayoran Lama,Jakarta Selatan,,021 7245646,021 7230703,,,
1000019,Yadika Kebayoran Lama,Rumah Sakit Ibu dan Anak,Jl. Ciputat Raya No. 5,Kebayoran Lama Selatan,Kebayoran Lama,Jakarta Selatan,,"021 7291074, 021 7291077",021 7289546,,,
1000020,ASRI,Rumah Sakit Khusus Bedah,Jl. Duren Tiga Raya No. 20,Duren Tiga,Pancoran,Jakarta Selatan,,"021 79198383, 021 68273307","021 79198118, 021 7940553",,,
3171757,Duren Tiga,Rumah Sakit Bersalin,Jl. Duren Tiga Raya No. 5,Pancoran,Pancoran,Jakarta Selatan,,"021 7993817, 021 7941843",021 7901050,,,
1000021,Avisena,Rumah Sakit Bersalin,Jl. H. Rohimin No. 30,Ulujami,Pesanggrahan,Jakarta Selatan,12250,021 5853916,021 5871802,,,
1000022,Kemang,Rumah Sakit Ibu dan Anak,Jl. Ampera Raya No. 34,Ragunan,Pasar Minggu,Jakarta Selatan,,"021 27545454, 021 27545400",021 78843548,,,
1000023,Siloam Semanggi,Rumah Sakit Khusus Kanker,Jl. Garnisun No. 2 - 3,Karet Semanggi,Setiabudi,Jakarta Selatan,,021 57991779,021 57992155,,,
3171424,"Prof.DR.Isak Salim ""Aini""",Rumah Sakit Khusus Mata,"Jl. HR. Rasuna Said, Kuningan",Karet Setiabudi,Setiabudi,Jakarta Selatan,,021 5256228,021 5224288,,,
3171286,Budhi Jaya,Rumah Sakit Ibu dan Anak,Jl. Dr. Saharjo No. 120,Menteng Atas,Setiabudi,Jakarta Selatan,12960,"021 8311722, 021 8312378",021 8301901,,,
3171691,FKG Univ.Prof.DR.Moestopo,Rumah Sakit Khusus Gigi & Mulut,Jl. Bintaro Permai Raya No. 3,,,Jakarta Selatan,,"021 73885251, 021 73885254","021 73885251, 021 73885253",,,
3172531,Harapan Jayakarta ,Rumah Sakit Umum,Jl. Bekasi Timur Raya KM. 18 No. 6 P. Gdg. ,Jatinegara,Cakung,Jakarta Timur,,"021 4603916, 021 4601371",021 4608863,,,
3172553,Harapan Bunda,Rumah Sakit Umum,Jl. Raya Bogor KM. 22 No. 44,Rambutan,Ciracas,Jakarta Timur,,021 8400257,021 87781247,,,
3172590,Yadika Pondok Bambu,Rumah Sakit Umum,Jl. Pahlawan Revolusi No. 47,Pondok Bambu,Duren Sawit,Jakarta Timur,,"021 8615754, 021 8610756",021 8631708,,,
3172505,Islam Jakarta Pondok Kopi,Rumah Sakit Umum,Jl. Raya Pondok Kopi,Pondok Kopi,Duren Sawit,Jakarta Timur,13460,"021 8610471, 021 8630654",021 8611101,www.rsijpondokkopi.co.id,rsipk@cbn.net.id,
510200,Tk.IV Cijantung Kesdam Jaya,Rumah Sakit Umum,"Jl. Mahoni, Pasar Rebo, Cijantung II ",Gedong,Gedong,Jakarta Timur,,021 8400535,021 8407886,,,
3172035,Pengayoman Cipinang,Rumah Sakit Umum,Jl. Raya Bekasi Timur 170 C,Cipinang Besar Utara,Jatinegara,Jakarta Timur,,"0852 10432196, 021 85909644",021 85911415,,,
3172206,Premier Jatinegara,Rumah Sakit Umum,Jl. Raya Jatinegara Timur No. 85 - 87,Rawa Bunga,Jatinegara,Jakarta Timur,13310,"021 2800666, 021 2800777, 021 2800888",021 2800755,www.ramsayhealth.co.id,rspremier.jatinegara@ramsayhealth.co.id,021 2800888
3172061,Pusat Angkatan Udara Dr. Esnawan Antariksa,Rumah Sakit Umum,Jl. Merpati No. 2,Halim Perdanakusuma,Kampung Makasar,Jakarta Timur,,"021 8091716, 021 8093943",021 8098665,,,
3172024,Budhi Asih ,Rumah Sakit Umum Daerah,Jl. Dewi Sartika III No. 200,Cawang,Kramat Jati,Jakarta Timur,,"021 8090282, 021 8092482","021 8009157, 021 8007348",,,
3170505,TK.III DIK PUSDIKKES KADIKLATAD,Rumah Sakit Umum,Jl. Raya Bogor,Kramat Jati,Kramat Jati,Jakarta Timur,,"021 8092358, 021 80883704",021 8092706,,,
3272072,Bhayangkara Tk.I  R. Said Sukanto,Rumah Sakit Umum,Jl. RS Polri,Kramat Jati,Kramat Jati,Jakarta Timur,13510,021 8093288,021 8094005,,,021 8093288 ext. 101
3172094,Universitas Kristen Indonesia,Rumah Sakit Umum,Jl. Mayjen Sutoyo No. 2,Cawang,Makasar,Jakarta Timur,13630,"021 8092317, 021 8092831, 021 8010523",021 8002445,,rsuuki@yahoo.co.id,021 8092317 ext. 3
3172520,Harum Sisma Medika,Rumah Sakit Umum,Jl. Tarum Barat - Kalimalang,Cipinang Melayu,Makasar,Jakarta Timur,13620,"021 8617212, 021 8617213",021 8601030,,,
3172724,Haji Jakarta,Rumah Sakit Umum,Jl. Raya Pondok Gede No. 4,Pinang Ranti,Makasar,Jakarta Timur,,"021 8000693, 021 8000695",021 80876209,,,
3172126,Pasar Rebo,Rumah Sakit Umum Daerah,Jl. Letjen T. B. Simatupang No. 30,Gedong,Pasar Rebo,Jakarta Timur,13760,"021 8401127, 021 8400109",021 8411159,,rsudpasarrebo@yahoo.com,
1000024,Pemuda,Rumah Sakit Umum,Jl. Pemuda,Jatinegara Kaum,Pulogadung,Jakarta Timur,,,,,,
1000025,Pulomas,Rumah Sakit Umum,Jl. Kayu Putih Raya,Kayu Putih,Pulogadung,Jakarta Timur,,,,,,
3172495,Omni Internasional Pulomas,Rumah Sakit Umum,Jl. Pulomas Barat VI No. 20,Kayu Putih,Pulogadung,Jakarta Timur,,"021 4723332, 021 4722719",021 4718081,,,
3172516,Kartika Pulomas ,Rumah Sakit Umum,Jl. Pulomas Timur K. No.2,Kayu Putih,Pulogadung,Jakarta Timur,,"021 4723402, 021 4703333",021 4723402,,,
3172013,Persahabatan ,Rumah Sakit Umum,Jl. Persahabatan Raya ,Pisangan Timur,Pulogadung,Jakarta Timur,,"021 4891708, 021 4890696",021 4711222,,,
